library name,text,rodata,data,bss,code,flash,ram
lib\libboot_ex_spi6nor.a,1630,314,162,6,1944,2106,168
lib\libcalclib.a,2706,8,0,352,2714,2714,352
lib\libcalclib_crc.a,252,1280,0,0,1532,1532,0
lib\libcfw.a,1796,45,0,4,1841,1841,4
lib\libcfw_core_modem_lte_lib.a,254900,33499,3583,9120,288399,291982,12703
lib\libcrypto.a,15690,631,0,100,16321,16321,100
lib\libdiag.a,7868,193,0,6780,8061,8061,6780
lib\libdriver_camera.a,10298,2839,497,95,13137,13634,592
lib\libdriver_charge_adc.a,5446,161,71,270,5607,5678,341
lib\libdriver_lcd.a,4400,563,86,3,4963,5049,89
lib\libdrv_host.a,1476,0,0,0,1476,1476,0
lib\libefuse_secure.a,872,0,2,4,872,874,6
lib\libfatfs.a,7300,829,1,555,8129,8130,556
lib\libfs.a,5748,180,192,137,5928,6120,329
lib\libfs_partinfo.a,368,0,0,0,368,368,0
lib\libfsmount.a,1476,38,1,12,1514,1515,13
lib\libfupdate_core.a,3052,72,16,0,3124,3140,16
lib\libfupdate_security_app.a,172,16,0,1,188,188,1
lib\libhal_prop.a,3148,1205,1660,1480,4353,6013,3140
lib\libids_core.a,3586,663,0,92,4249,4249,92
lib\libjson.a,4154,39,12,8,4193,4205,20
lib\liblcdpanel.a,2300,110,12,0,2410,2422,12
lib\liblwip.a,109894,18536,34,7018,128430,128464,7052
lib\liblz4.a,3690,64,0,0,3754,3754,0
lib\libmal.a,1288,41,0,8,1329,1329,8
lib\libmbedtls.a,158606,54386,95,9386,212992,213087,9481
lib\libml.a,1648,16452,168,4,18100,18268,172
lib\libnanopb.a,5100,554,0,0,5654,5654,0
lib\libnet.a,20932,1942,94,12791,22874,22968,12885
lib\libnet_src_lwip.a,3246,0,0,600,3246,3246,600
lib\libnvm.a,4456,1612,0,3,6068,6068,3
lib\liboql_core_drv.a,248,1935,343,1,2183,2526,344
lib\liboql_core_virt_func.a,432,0,0,15,432,432,15
lib\libosi_core.a,7598,96,0,125,7694,7694,125
lib\libosi_lib.a,9800,248,0,205597,10048,10048,205597
lib\libql_at_list.a,292,4444,0,8,4736,4736,8
lib\libql_codec_cfg.a,1264,382,772,0,1646,2418,772
lib\libql_kernel_cfg.a,11472,266,6,14604,11738,11744,14610
lib\libql_open_at.a,168,60,0,0,228,228,0
lib\libql_spi4_nor_prop.a,24,0,200,0,24,224,200
lib\librpc_core_modem_lte_lib.a,3580,2801,1,12,6381,6382,13
lib\libservice.a,7172,1865,8,85,9037,9045,93
lib\libsffs_core.a,24212,832,13,0,25044,25057,13
lib\libsimlock_core.a,7626,0,64,0,7626,7690,64
lib\libxlat.a,8134,201,0,4,8335,8335,4
lib\libboot_ex_ql_pin.a,0,0,248,1,0,248,249
..\..\components\ql-kernel\libs\libql_fatfs_ex.a,0,0,0,8,0,0,8
