object name,library name,text,rodata,data,bss,code,flash,ram
lib_a-s_nan.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,16,0,0,0,16,16,0
lib_a-sccl.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,116,0,0,0,116,116,0
lib_a-sf_nan.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,12,0,0,0,12,12,0
lib_a-siscanf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,80,0,0,0,80,80,0
lib_a-snprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,102,0,0,0,102,102,0
lib_a-sprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,64,0,0,0,64,64,0
lib_a-sscanf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,80,0,0,0,80,80,0
lib_a-stdio.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,140,0,0,0,140,140,0
lib_a-strcasecmp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,68,0,0,0,68,68,0
lib_a-strcat.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,64,0,0,0,64,64,0
lib_a-strchr.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,208,0,0,0,208,208,0
lib_a-strcmp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,732,0,0,0,732,732,0
lib_a-strcpy.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,196,0,0,0,196,196,0
lib_a-strcspn.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,48,0,0,0,48,48,0
lib_a-strdup.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,20,0,0,0,20,20,0
lib_a-strdup_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,36,0,0,0,36,36,0
lib_a-strerror.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,1156,1792,0,0,2948,2948,0
lib_a-strlen.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,220,0,0,0,220,220,0
lib_a-strncasecmp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,84,0,0,0,84,84,0
lib_a-strncat.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,92,0,0,0,92,92,0
lib_a-strncmp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,132,0,0,0,132,132,0
lib_a-strncpy.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,116,0,0,0,116,116,0
lib_a-strndup.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,24,0,0,0,24,24,0
lib_a-strndup_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,64,0,0,0,64,64,0
lib_a-strnlen.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,44,0,0,0,44,44,0
lib_a-strpbrk.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,56,0,0,0,56,56,0
lib_a-strrchr.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,36,0,0,0,36,36,0
lib_a-strspn.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,48,0,0,0,48,48,0
lib_a-strstr.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,1092,0,0,0,1092,1092,0
lib_a-strtod.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,3048,89,0,0,3137,3137,0
lib_a-strtok.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,28,0,0,0,28,28,0
lib_a-strtok_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,120,0,0,0,120,120,0
lib_a-strtol.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,266,0,0,0,266,266,0
lib_a-strtoll.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,330,0,0,0,330,330,0
lib_a-strtoul.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,274,0,0,0,274,274,0
lib_a-strtoull.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,338,0,0,0,338,338,0
lib_a-svfiprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,234,0,0,0,234,234,0
lib_a-svfiscanf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,4158,34,0,0,4192,4192,0
lib_a-svfprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,4884,61,0,0,4945,4945,0
lib_a-svfscanf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,4796,39,0,0,4835,4835,0
lib_a-time.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,38,0,0,0,38,38,0
lib_a-tzcalc_limits.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,340,0,0,0,340,340,0
lib_a-tzlock.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,24,0,0,0,24,24,0
lib_a-tzset.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,14,0,0,0,14,14,0
lib_a-tzset_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,772,56,0,26,828,828,26
lib_a-tzvars.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,0,4,8,8,4,12,16
lib_a-u_strerr.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,4,0,0,0,4,4,0
lib_a-ungetc.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,112,0,0,0,112,112,0
lib_a-vsnprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,118,0,0,0,118,118,0
lib_a-vsscanf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,98,0,0,0,98,98,0
lib_a-wbuf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,146,0,0,0,146,146,0
lib_a-wctomb_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,26,0,0,0,26,26,0
lib_a-wsetup.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,170,0,0,0,170,170,0
lib_a-xpg_strerror_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,96,0,0,0,96,96,0
ql_audio.c.obj,..\..\components\ql-kernel\libs\liboql_api_audio.a,11096,2658,16,165,13754,13770,181
ql_power.c.obj,..\..\components\ql-kernel\libs\liboql_api_power.a,4450,919,56,41,5369,5425,97
ql_hd_gnss.c.obj,..\..\components\ql-kernel\libs\liboql_hd_gnss.a,1538,379,8,0,1917,1925,8
quec_modem_interface.c.obj,..\..\components\ql-kernel\libs\libq_modem.a,2252,716,0,48,2968,2968,48
quec_usbnet.c.obj,..\..\components\ql-kernel\libs\libq_usbnet.a,2564,694,61,16,3258,3319,77
ql_adc.c.obj,..\..\components\ql-kernel\libs\libql_api_adc.a,400,45,2,0,445,447,2
ql_api_camera.c.obj,..\..\components\ql-kernel\libs\libql_api_camera.a,2900,573,0,28,3473,3473,28
ql_log.c.obj,..\..\components\ql-kernel\libs\libql_api_common.a,682,114,1,113,796,797,114
ql_api_datacall.c.obj,..\..\components\ql-kernel\libs\libql_api_datacall.a,16592,3507,182,1666,20099,20281,1848
ql_api_dev.c.obj,..\..\components\ql-kernel\libs\libql_api_dev.a,2152,458,11,4,2610,2621,15
ql_api_fota.c.obj,..\..\components\ql-kernel\libs\libql_api_fota.a,3608,1091,2,0,4699,4701,2
ql_fs.c.obj,..\..\components\ql-kernel\libs\libql_api_fs.a,6904,970,0,4,7874,7874,4
ql_fs_handler.c.obj,..\..\components\ql-kernel\libs\libql_api_fs.a,3908,1028,200,20,4936,5136,220
ql_ftp_client.c.obj,..\..\components\ql-kernel\libs\libql_api_ftp.a,4278,286,4,0,4564,4568,4
ql_ftp_parse.c.obj,..\..\components\ql-kernel\libs\libql_api_ftp.a,3378,514,8,0,3892,3900,8
ql_gpio.c.obj,..\..\components\ql-kernel\libs\libql_api_gpio.a,3564,383,0,384,3947,3947,384
ql_http_client.c.obj,..\..\components\ql-kernel\libs\libql_api_http.a,2884,210,0,4,3094,3094,4
ql_i2c.c.obj,..\..\components\ql-kernel\libs\libql_api_i2c.a,1472,109,36,0,1581,1617,36
ql_keypad.c.obj,..\..\components\ql-kernel\libs\libql_api_keypad.a,492,100,36,0,592,628,36
ql_lcd.c.obj,..\..\components\ql-kernel\libs\libql_api_lcd.a,4608,304,5,10,4912,4917,15
ql_mqttclient.c.obj,..\..\components\ql-kernel\libs\libql_api_mqtt.a,3636,266,0,24,3902,3902,24
